Image to segmentize,Label to look for,Image with the mask applied,timestamp
.gradio/flagged/Image to segmentize/3807c76b51882445f096/fibber-mcgee-abby.png,person,,2025-08-08 14:53:12.763757
.gradio/flagged/Image to segmentize/e75ce298b1fc6668bbd8/fibber-mcgee-abby.png,person,,2025-08-08 14:53:15.717639
